File,Author,Creator,Producer,Subject,Title,PageCount,Comment
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01739_compostNercOrg.pdf,marias,Corel WordPerfect - [K:\Recycle\Vicky\Farmuse3col.WPD (Read-Only - unmodified)],Acrobat PDFWriter 4.0 for Windows NT,,K:\Recycle\Vicky\Farmuse3col.PDF,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00068_medianstripinfil.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,medianstripinfil,1,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00479_boulderclusters.pdf,u4ercvld,Microsoft Word ,Acrobat PDFWriter 4.0 for Windows,,BOULDTN1.PDF,6,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01733_AlaskaGravel.pdf,Stephanie Pingree,Acrobat PDFMaker 6.0 for Word,Acrobat Distiller 6.0.1 (Windows),,Gravel Pit BMPs,43,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01399_Soil_Stabilization_Pricing_CA.pdf,sullivanj,PScript5.dll Version 5.2,Acrobat Distiller 6.0 (Windows),,Microsoft Word - SSBMPresearchDraft_073007_vt_mh.doc,23,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00950_VirginiaLivestockExclusion.pdf,"HyperGEAR,Inc.","HyperGEAR,Inc.",HyperGEAR PDF Make Library,,,4,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01421_Streambank_armor_protection.pdf,,Adobe InDesign CS2 (4.0.2),Adobe PDF Library 7.0,,Technical Supplement 14K--Streambank Armor Protection with Stone Structures,22,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01701_SubdivisionDesignCritique.pdf,Randall Arendt,Acrobat PDFMaker 9.0 for Word,Adobe PDF Library 9.0,,,6,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01638_BoulderColoradoChemical.pdf,kjones,PScript5.dll Version 5.2.2,Acrobat Distiller 9.0.0 (Windows),,Microsoft Word - Pesticide and Fertilizer Application SOP.doc,3,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01344_OhioRipRap.pdf,NR733G3,Adobe PageMaker 6.5,Acrobat Distiller 3.02 for Power Macintosh,stfs16,stfs16,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01387_RevegdocLosLunasLab.pdf,sanka.chen,PScript5.dll Version 5.2.2,Acrobat Distiller 6.0.1 (Windows),,Microsoft Word - Seeding Xeric Riparian Sites.doc,8,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00102_treecover.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,treecover,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00092_cobbleliners.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,cobbleliners,1,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00115_jacksjack.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,jacksjack,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01754_ipm.pdf,"Rex Dufour, July 2001",Adobe PageMaker 6.52,Acrobat Distiller 4.05 for Windows,"This publication provides the rationale for biointensive Integrated Pest Management (IPM), outlines the concepts and tools of biointensive IPM, and suggests steps and provides informational resources for implementing IPM.",Biointensive Integrated Pest Management (IPM) ~ PDF,52,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01423_streamsideexcl.pdf,ezabronsky,PScript5.dll Version 5.2,Acrobat Distiller 7.0.5 (Windows),,Stream brochure_final.qxp,20,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00112_dormantposts.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,dormantposts,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00912_grazing.pdf,,Adobe InDesign CS3 (5.0),Adobe PDF Library 8.0,,,3,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00421_to_00428_Land_Mgt_Tips_Small_Ranches_Texas_comp.pdf,,HP PDF Formatter version 1.0.0.229,Acrobat Distiller 6.0.1 (Windows),,untitled,20,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01599_Checkdam.pdf,jzm,Adobe PageMaker 6.52,Acrobat Distiller 4.0 for Windows,Sediment Control,Check Dams,7,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00075_pocketsandfilter.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,pocketsandfilter,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00369_conservation_easement_handbook_2010.pdf,,Adobe InDesign CS3 (5.0.4),Adobe PDF Library 8.0,,,40,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00487_channelprocessesclassificationandresponse.pdf,,Capture Reviewer 2.01,Acrobat PDFWriter 3.03 for Windows,,,30,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00048_divstruct_flowsplit.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,divstruct_flowsplit,1,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00022_min_pollutants.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,min_pollutants,1,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01697_EconomicsofCSD.pdf,,Corel Ventura 10,Acrobat Distiller 6.0 (Windows),,UAR282183.vp,24,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00007_tempseeding.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,tempseeding,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01433_UDFCDdikesSwales.pdf,Galene Bushor,Acrobat PDFMaker 9.1 for Word,Adobe PDF Library 9.0,,NONSTRUCTURAL BEST MANAGEMENT PRACTICES,5,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00760_to_00806_AustralianStreamRehabilitationManualvol2.pdf,,,,,,,An exception occured
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01010_thesis.pdf,USDA Forest Service - Rocky Mountain Research Station,Adobe InDesign 2.0.1,,RMRS-GTR-203: Appendix C,Riparian buffer design guidelines for water quality and wildlife habitat functions on agricultural landscapes in the Intermountain Wes,60,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00477_streambankhabitatenhancement.pdf,u4ercvld,Microsoft Word ,Acrobat PDFWriter 4.0 for Windows,,LWDtn2.PDF,15,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00992_LitBuffer.pdf,valerie,1LitBufferDesign8-7-00 - Microsoft Word,Acrobat PDFWriter 4.05 for Windows NT,,1LitBufferDesign8-7-00.PDF,17,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00929_to_00933_VirginiaForestryA1.pdf,User,PScript5.dll Version 5.2,Acrobat Distiller 5.0 (Windows),,wq-BMP-Append-A1.pdf,12,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00715_UofGeorgia.pdf,Seth Wenger,Adobe PageMaker 6.5,Acrobat Distiller 3.0 for Power Macintosh,,Riparian Buffer Literature Review,59,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01769_PennStatecroprotat.pdf,Lana,Acrobat PDFMaker 5.0 for Word,Acrobat Distiller 5.0.5 (Windows),,?,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01779_TCEQWell.pdf,TCEQ,Acrobat PDFMaker 9.1 for Word,Acrobat Distiller 9.0.0 (Windows),Description for Publications Catalog,Landowner’s Guide to Plugging Abandoned Water Wells,24,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00316_newconbuf.pdf,NPSS54(Mattinson),Adobe PageMaker 6.5,Acrobat Distiller 4.0 for Macintosh,contil1,contil1,25,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01774_soiltest.pdf,,,,,,,An exception occured
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00719_RiparianSetbaacks.pdf,Linda,PScript5.dll Version 5.2,Acrobat Distiller 6.0.1 (Windows),,Microsoft Word - Why Riparian Setbacks_January 2006 _2_.doc,5,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00474_reconnectionfloodplainsincisedchannels.pdf,u4ercvld,Microsoft Word ,Acrobat PDFWriter 4.0 for Windows,,Reconnection_SR-09_1.PDF,11,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00130_streambarbs.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,streambarbs,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01730_AgComposting.pdf,,Acrobat PDFMaker 6.0 for Word,Acrobat Distiller 6.0 (Windows),,05-023 - Agricultural Composting Basics,8,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01614_to01624_StreamStabilization.pdf,NYSDEC,Acrobat PDFMaker 8.1 for Word,Acrobat Distiller 8.1.0 (Windows),techniques for Shoreline Stabilization,Shoreline Stabilization Techniques,19,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00432_TPWDLIP.pdf,,Adobe InDesign CS4 (6.0.4),Adobe PDF Library 9.0,,,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00315_saltcedar.pdf,,Adobe InDesign CS3 (5.0.4),Adobe PDF Library 8.0,,,6,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00430e_RiparianFerns&Vines.pdf,,Adobe InDesign CS3 (5.0.2),Adobe PDF Library 8.0,,,5,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00497_to_00506_Best_Practices_Workbook_FINAL_2010.pdf,,QuarkXPress(R) 7.5,QuarkXPress(R) 7.5,,Layout 1,144,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01729_USDAAlley.pdf,rdee,PScript5.dll Version 5.2,Acrobat Distiller 5.0 (Windows),,fallwinter0102.qxd,12,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01058_to_01095_CADevelopmentHandbook.pdf,,,,,,,An exception occured
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00940_to_00942_VirginiaForestryA3.pdf,User,PScript5.dll Version 5.2,Acrobat Distiller 5.0 (Windows),,wq-BMP-Append-A3.pdf,12,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00058_wet_an_habitat.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,wet_an_habitat,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00107_bankshaping.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,bankshaping,1,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00711_TPWDconservationeasements.pdf,Texas Parks & Wildlife Department,QuarkXPress.: LaserWriter 8 8.7.1,Acrobat Distiller 5.0.5 for Macintosh,,Conservation Easements: A Guide for Texas Landowners,38,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01098_DNR_MD_streamrestoration.pdf,Dorothy Kennedy,QuarkXPressª 4.1: AdobePS 8.7.2 (104),Acrobat Distiller 5.0 for Macintosh,,MDES BROCHURE,6,
